"rom","Name","clone of","pinemHi","tomslogic","superhac","nvrams"
clash,"Clash, The (Rock Encore unofficial MOD)",rock,x,,,KO!!
cleoptra,"Cleopatra",,x,,,OK
closeenc,"Close Encounters of the Third Kind",,x,,,OK
clown,"Clown",,,,,KO!!
clownfp,"Clown (Free Play)",clown,,,,KO!!
cntct_l1,"Contact (L-1)",,x,x,,OK
cntforc7,"Counterforce (7-digit conversion)",cntforce,x,,,OK
cntforce,"Counterforce",,x,,,OK
cntine31,"Continental 3 in 1 (Bingo)",,,,,KO!!
cntinntl,"Continental (Bingo)",,,,,KO!!
cntintl2,"Continental (Bingo, alternate version)",cntinntl,,,,KO!!
cobra,"Cobra",,,,,KO!!
cobrapb,"Cobra (Playbar)",,,,,KO!!
columbia,"Columbia",,,,,KO!!
comeback,"Come Back",,,,,KO!!
comet_l4,"Comet (L-4)",comet_l5,x,x,,OK
comet_l5,"Comet (L-5)",,x,x,x,OK
coneyis,"Coney Island!",,x,,x,OK
congo_11,"Congo (1.1, DCS95 S1.1)",congo_21,x,,,KO!!
congo_13,"Congo (1.3, DCS95 S1.1)",congo_21,x,,,KO!!
congo_20,"Congo (2.0, DCS95 S1.1)",congo_21,x,x,,KO!!
congo_20s10k,"Congo (2.0, WPC-S S1.0-kit)",congo_21,x,x,,KO!!
congo_21,"Congo (2.1, DCS95 S1.1)",,x,x,x,OK
corsarfp,"Corsario (Free Play)",corsario,x,,,KO!!
corsario,"Corsario",,x,,,OK
corv_21,"Corvette (2.1)",,x,x,x,OK
corv_dx1,"Corvette (DX-1 LED Ghost Fix)",corv_21,,,,KO!!
corv_f61,"Corvette (FreeWPC 0.61)",corv_21,,,,KO!!
corv_la1,"Corvette (LA-1)",corv_21,x,,,KO!!
corv_lx1,"Corvette (LX-1)",corv_21,x,,,KO!!
corv_lx2,"Corvette (LX-2)",corv_21,x,,,KO!!
corv_px3,"Corvette (PX-3 Prototype)",corv_21,,,,KO!!
corv_px4,"Corvette (PX-4 Prototype)",corv_21,x,,,KO!!
corv_px5,"Corvette (PX-5 Prototype LED Ghost Fix)",corv_21,,,,KO!!
cosflash,"Cosmic Flash",,,,,KO!!
cosflnsm,"Cosmic Flash (NSM)",,,,,KO!!
cosmic,"Cosmic",,,,,KO!!
countdwn,"Count-Down",,x,,,OK
cowboy,"Cowboy Eight Ball 2",,,,,OK
cowboy3a,"Cowboy Eight Ball (alternate set)",cowboy3p,,,,KO!!
cowboy3p,"Cowboy Eight Ball",,,,,KO!!
cp_15,"Champion Pub, The (1.5)",cp_16,x,,x,KO!!
cp_16,"Champion Pub, The (1.6)",,x,x,,OK
cp_16pfx,"Champion Pub, The (1.6 Pinball FX)",cp_16,x,,,KO!!
cpthook,"Captain Hook",,x,,,KO!!
csi_102,"CSI: Crime Scene Investigation (V1.02)",csi_240,,,,KO!!
csi_103,"CSI: Crime Scene Investigation (V1.03)",csi_240,x,,,KO!!
csi_104,"CSI: Crime Scene Investigation (V1.04)",csi_240,x,,,KO!!
csi_200,"CSI: Crime Scene Investigation (V2.0)",csi_240,x,,,KO!!
csi_210,"CSI: Crime Scene Investigation (V2.1)",csi_240,x,,,KO!!
csi_230,"CSI: Crime Scene Investigation (V2.3)",csi_240,x,,,KO!!
csi_240,"CSI: Crime Scene Investigation (V2.4)",,x,,x,OK
csmic_l1,"Cosmic Gunfight (L-1)",,x,x,,OK
ctcheese,"Cut The Cheese (Redemption)",,,,,KO!!
ctchzdlx,"Cut The Cheese Deluxe (Redemption)",ctcheese,,,,KO!!
cue,"Cue (Prototype)",,x,,,KO!!
cueball,"Cue Ball Wizard",,x,x,x,OK
cueball1,"Cue Ball Wizard (older display rev.)",cueball,x,x,,KO!!
cueball2,"Cue Ball Wizard (rev. 2)",cueball,x,x,,KO!!
cueball3,"Cue Ball Wizard (rev. 3)",cueball,x,x,,OK
cv_10,"Cirqus Voltaire (1.0)",cv_14,x,,,OK
cv_11,"Cirqus Voltaire (1.1)",cv_14,x,,,KO!!
cv_13,"Cirqus Voltaire (1.3)",cv_14,x,,,OK
cv_14,"Cirqus Voltaire (1.4)",,x,x,,OK
cv_20h,"Cirqus Voltaire (2.0H)",cv_14,x,x,x,OK
cv_20hc,"Cirqus Voltaire (2.0H Coin Play)",cv_14,x,x,,OK
cv_d52,"Cirqus Voltaire (D.52 Prototype)",cv_14,x,,,KO!!
cybrnaua,"Cybernaut (Free Play)",cybrnaut,x,x,,KO!!
cybrnaut,"Cybernaut",,x,x,,OK
cycln_l1,"Cyclone (L-1)",cycln_l5,x,,,KO!!
cycln_l4,"Cyclone (L-4)",cycln_l5,x,,,KO!!
cycln_l5,"Cyclone (L-5)",,x,x,x,OK
cyclope1,"Cyclopes (11/85)",cyclopes,x,,,KO!!
cyclopes,"Cyclopes (12/85)",,x,,,OK
dakar,"Dakar",,,,,OK
dalejr,"Dale Jr. (5.00)",,x,,,OK
darkshad,"Dark Shadow",,,,,KO!!
dd_l2,"Dr. Dude (LA-2)",,x,x,x,OK
dd_l3c,"Dr. Dude (LA-3C Competition MOD)",dd_l2,x,,,KO!!
dd_lu1,"Dr. Dude (LU-1 Europe)",dd_l2,x,,,KO!!
dd_p06,"Dr. Dude (PA-6 WPC Prototype)",dd_l2,x,,,KO!!
dd_p6,"Dr. Dude (PA-6 Prototype)",dd_l2,x,,,KO!!
dd_p7,"Dr. Dude (PA-7 WPC Prototype)",dd_l2,x,,,KO!!
deadweap,"Deadly Weapon",,x,x,x,OK
deleontest4,"Data East Leon Test Chip (version 4)",,,,,KO!!
detest,"Data East Test Chip",,,,,KO!!
dfndr_l4,"Defender (L-4)",,x,x,,OK
dh_dx2,"Dirty Harry (DX-2 LED Ghost Fix)",dh_lx2,,x,,KO!!
dh_lf2,"Dirty Harry (LF-2 French)",dh_lx2,x,,,KO!!
dh_lx2,"Dirty Harry (LX-2)",,x,x,x,OK
diamnffp,"Diamond Lady (French Free Play)",diamond,x,x,,KO!!
diamngfp,"Diamond Lady (German Free Play)",diamond,x,x,,KO!!
diamond,"Diamond Lady",,x,x,x,OK
diamondf,"Diamond Lady (French)",diamond,x,,,KO!!
diamondg,"Diamond Lady (German)",diamond,x,,,KO!!
diamonfp,"Diamond Lady (Free Play)",diamond,x,x,,KO!!
diner_f2,"Diner (LF-2 French)",diner_l4,x,,,KO!!
diner_g2,"Diner (LG-2 German)",diner_l4,x,,,KO!!
diner_l1,"Diner (LU-1 Europe)",diner_l4,x,,,KO!!
diner_l2,"Diner (LU-2 Europe)",diner_l4,x,,,KO!!
diner_l3,"Diner (LA-3)",diner_l4,x,,,KO!!
diner_l4,"Diner (LA-4)",,x,x,,OK
diner_p0,"Diner (PA-0 Prototype)",diner_l4,x,,,KO!!
dinoeggs,"Dinosaur Eggs (R02)",,,,,KO!!
disco79,"Disco '79",,,,,KO!!
disco_l1,"Disco Fever (L-1)",,x,x,,OK
discodan,"Disco Dancing",,,,,KO!!
dm_da1,"Demolition Man (DA-1 LED Ghost Fix)",dm_lx4,,,,KO!!
dm_dh5,"Demolition Man (DH-5 LED Ghost Fix)",dm_lx4,,,,KO!!
dm_dh5b,"Demolition Man (DH-5B Coin Play LED Ghost Fix)",dm_lx4,,,,KO!!
dm_dt099,"Demolition Man (FreeWPC/Demolition Time 0.99)",dm_lx4,,,,KO!!
dm_dt101,"Demolition Man (FreeWPC/Demolition Time 1.01)",dm_lx4,,x,,OK
dm_dx3,"Demolition Man (DX-3 LED Ghost Fix)",dm_lx4,,,,KO!!
dm_dx4,"Demolition Man (DX-4 LED Ghost Fix)",dm_lx4,,x,,KO!!
dm_h5,"Demolition Man (H-5)",dm_lx4,x,,,KO!!
dm_h5b,"Demolition Man (H-5B Coin Play)",dm_lx4,x,,,KO!!
dm_h6,"Demolition Man (H-6)",dm_lx4,x,x,,OK
dm_h6b,"Demolition Man (H-6B Coin Play)",dm_lx4,x,x,,KO!!
dm_h6c,"Demolition Man (H-6C Competition MOD)",dm_lx4,x,x,,KO!!
dm_la1,"Demolition Man (LA-1)",dm_lx4,x,,,KO!!
dm_lx3,"Demolition Man (LX-3)",dm_lx4,x,,,KO!!
dm_lx4,"Demolition Man (LX-4)",,x,x,x,OK
dm_lx4c,"Demolition Man (LX-4C Competition + LED Ghost MOD)",dm_lx4,,x,,KO!!
dm_pa2,"Demolition Man (PA-2 Prototype)",dm_lx4,x,,,KO!!
dm_pa3,"Demolition Man (PA-3 LED Ghost Fix)",dm_lx4,,,,KO!!
dm_px5,"Demolition Man (PX-5 Prototype)",dm_lx4,x,,,KO!!
dm_px6,"Demolition Man (PX-6 LED Ghost Fix)",dm_lx4,,,,KO!!
dollyptb,"Dolly Parton (7-digit conversion)",dollyptn,x,x,x,OK
dollyptn,"Dolly Parton",,x,x,,KO!!
domino2,"Domino II (Bingo)",,,,,KO!!
drac_d1,"Bram Stoker's Dracula (D-1 LED Ghost Fix)",drac_l1,,x,,KO!!
drac_l1,"Bram Stoker's Dracula (L-1)",,x,x,x,OK
drac_l2c,"Bram Stoker's Dracula (L-2C Competition MOD)",drac_l1,x,,,KO!!
drac_p11,"Bram Stoker's Dracula (P-11 Prototype)",drac_l1,x,,,KO!!
drac_p12,"Bram Stoker's Dracula (P-12 LED Ghost Fix)",drac_l1,,,,KO!!
dracula,"Dracula",,x,x,,OK
draculc,"Dracula (One Ball MOD)",dracula,x,,,KO!!
draculfp,"Dracula (Free Play)",dracula,x,x,,KO!!
dragfib2,"Dragonfist (MOD Drop Target Score patch 2)",dragfist,x,,,KO!!
dragfifp,"Dragonfist (Free Play)",dragfist,x,,,KO!!
dragfis14,"Dragonfist (MOD 14)",dragfist,x,,,KO!!
dragfis15,"Dragonfist (MOD 15)",dragfist,,,,KO!!
dragfis16,"Dragonfist (MOD 16)",dragfist,,,,KO!!
dragfis3,"Dragonfist (MOD 3 rev. 1105)",dragfist,x,,,KO!!
dragfis3b,"Dragonfist (MOD 3 rev. 1109)",dragfist,x,,,KO!!
dragfisb,"Dragonfist (MOD Drop Target Score patch)",dragfist,x,,,KO!!
dragfist,"Dragonfist",,x,x,,KO!!
dragon,"Dragon",,x,,,OK
drakor,"Drakor",,,,,KO!!
dungdrag,"Dungeons & Dragons",,x,,,OK
dvlrdffp,"Devil Riders (French Speech, Free Play)",dvlrider,,,,KO!!
dvlrdfp,"Devil Riders (Free Play)",dvlrider,,,,KO!!
dvlrdgfp,"Devil Riders (German Speech, Free Play)",dvlrider,,,,KO!!
dvlrdifp,"Devil Riders (Italian Speech, Free Play)",dvlrider,,,,KO!!
dvlridef,"Devil Riders (French Speech)",dvlrider,,,,KO!!
dvlrideg,"Devil Riders (German Speech)",dvlrider,,,,KO!!
dvlridei,"Devil Riders (Italian Speech)",dvlrider,,,,KO!!
dvlrider,"Devil Riders",,,x,,OK
dvlsdre,"Devil's Dare",,x,,x,OK
dvlsdre2,"Devil's Dare (Sound Only)",dvlsdre,x,,,KO!!
dvlsdrea,"Devil's Dare (alternate set)",dvlsdre,,,,KO!!
dw_d1,"Doctor Who (D-1 LED Ghost Fix)",dw_l2,,,,KO!!
dw_d2,"Doctor Who (D-2 LED Ghost Fix)",dw_l2,,x,,KO!!
dw_l1,"Doctor Who (L-1)",dw_l2,x,,,KO!!
dw_l2,"Doctor Who (L-2)",,x,x,x,OK
dw_p5,"Doctor Who (P-5 Prototype)",dw_l2,x,,,KO!!
dw_p6,"Doctor Who (P-6 LED Ghost Fix)",dw_l2,,,,KO!!
eatpm_3g,"Elvira and the Party Monsters (LG-3 German)",eatpm_l4,x,,,KO!!
eatpm_4g,"Elvira and the Party Monsters (LG-4 German)",eatpm_l4,x,,,KO!!
eatpm_4u,"Elvira and the Party Monsters (LU-4 Europe)",eatpm_l4,x,,,KO!!
eatpm_f1,"Elvira and the Party Monsters (LF-1 French)",eatpm_l4,x,,,KO!!
eatpm_l1,"Elvira and the Party Monsters (LA-1)",eatpm_l4,x,,x,KO!!
eatpm_l2,"Elvira and the Party Monsters (LA-2)",eatpm_l4,x,x,,OK
eatpm_l4,"Elvira and the Party Monsters (LA-4)",,x,x,,OK
eatpm_p7,"Elvira and the Party Monsters (PA-7 Prototype)",eatpm_l4,x,,,KO!!
ebalchmb,"Eight Ball Champ (Maibesa)",,,,,KO!!
eballch2,"Eight Ball Champ (Cheap Squeek)",eballchp,x,,,KO!!
eballchp,"Eight Ball Champ",,x,,x,OK
eballd14,"Eight Ball Deluxe (rev. 14)",eballdlx,x,x,,KO!!
eballdla,"Eight Ball Deluxe (Free Play)",eballdlx,x,x,,KO!!
eballdlb,"Eight Ball Deluxe (modified rules rev. 29)",eballdlx,x,,,KO!!
eballdlc,"Eight Ball Deluxe (modified rules rev. 32)",eballdlx,x,,,KO!!
eballdld,"Eight Ball Deluxe (P2/4 Bonus Bugfix)",eballdlx,x,x,,KO!!
eballdlx,"Eight Ball Deluxe (rev. 15)",,x,x,,OK
eballdp1,"Eight Ball Deluxe (Prototype rev. 1)",eballdlx,x,,,KO!!
eballdp2,"Eight Ball Deluxe (Prototype rev. 2)",eballdlx,x,,,KO!!
eballdp3,"Eight Ball Deluxe (Prototype rev. 3)",eballdlx,x,,,KO!!
eballdp4,"Eight Ball Deluxe (Prototype rev. 4)",eballdlx,x,,,KO!!
eclipse,"Eclipse",,x,,,OK
eclipse7,"Eclipse (7-digit conversion)",eclipse,x,,,KO!!
eightblb,"Eight Ball (Free Play)",eightbll,x,x,,KO!!
eightblc,"Eight Ball (Free Play+)",eightbll,x,x,,KO!!
eightbll,"Eight Ball",,x,x,,OK
eightblo,"Eight Ball (Old/Tilt Bug)",eightbll,x,,,KO!!
eldorado,"El Dorado City of Gold",,x,,,OK
elektra,"Elektra",,x,x,,OK
elektraa,"Elektra (Free Play)",elektra,x,x,,OK
elv100,"Elvis (1.00)",elvis,x,,,KO!!
elv302,"Elvis (3.02)",elvis,x,,,KO!!
elv302f,"Elvis (3.02 French)",elvis,x,,,KO!!
elv302g,"Elvis (3.02 German)",elvis,x,,,KO!!
elv302i,"Elvis (3.02 Italian)",elvis,x,,,KO!!
elv302l,"Elvis (3.02 Spanish)",elvis,x,,,KO!!
elv303,"Elvis (3.03)",elvis,x,,,KO!!
elv303f,"Elvis (3.03 French)",elvis,x,,,KO!!
elv303g,"Elvis (3.03 German)",elvis,x,,,KO!!
elv303i,"Elvis (3.03 Italian)",elvis,x,,,KO!!
elv303l,"Elvis (3.03 Spanish)",elvis,x,,,KO!!
elv400,"Elvis (4.00)",elvis,x,,,KO!!
elv400f,"Elvis (4.00 French)",elvis,x,,,KO!!
elv400g,"Elvis (4.00 German)",elvis,x,,,KO!!
elv400i,"Elvis (4.00 Italian)",elvis,x,,,KO!!
elv400l,"Elvis (4.00 Spanish)",elvis,x,,,KO!!
elvis,"Elvis (5.00)",,x,,,OK
elvisf,"Elvis (5.00 French)",elvis,x,,,KO!!
elvisg,"Elvis (5.00 German)",elvis,x,,,KO!!
elvisi,"Elvis (5.00 Italian)",elvis,x,,,KO!!
elvisl,"Elvis (5.00 Spanish)",elvis,x,,,KO!!
embryon,"Embryon",,x,x,,OK
embryona,"Embryon (Free Play)",embryon,x,x,,KO!!
embryonb,"Embryon (7-digit conversion rev. 1)",embryon,x,,,KO!!
embryonc,"Embryon (7-digit conversion rev. 8)",embryon,x,,,KO!!
embryond,"Embryon (7-digit conversion rev. 9)",embryon,x,x,,OK
embryone,"Embryon (7-digit conversion rev. 92)",embryon,x,,,KO!!
empsback,"Empire Strikes Back, The",,,,,OK
erosone,"Eros One",,,,,KO!!
escape,"Escape",,,,,KO!!
esclwrld,"Escape from the Lost World",,x,,,OK
esclwrlg,"Escape from the Lost World (German)",esclwrld,x,,,KO!!
esha_l4c,"Earthshaker (LA-4C Competition MOD)",esha_la3,x,x,,OK
esha_la1,"Earthshaker (LA-1)",esha_la3,x,x,,OK
esha_la3,"Earthshaker (LA-3)",,x,x,x,OK
esha_lg1,"Earthshaker (LG-1 German)",esha_la3,x,,,KO!!
esha_lg2,"Earthshaker (LG-2 German)",esha_la3,x,,,KO!!
esha_ma3,"Earthshaker (LA-3 Metallica MOD)",esha_la3,x,x,,OK
esha_pa1,"Earthshaker (PA-1 Prototype)",esha_la3,x,,,KO!!
esha_pa4,"Earthshaker (PA-4 Prototype)",esha_la3,x,,,KO!!
esha_pr4,"Earthshaker (PR-4 Family version)",esha_la3,x,,,OK
evelknib,"Evel Knievel (Free Play)",evelknie,x,x,,KO!!
evelknic,"Evel Knievel (Free Play+)",evelknie,x,x,,KO!!
evelknie,"Evel Knievel",,x,x,x,OK
evlfight,"Evil Fight",,,,,KO!!
ewf,"Earth, Wind & Fire",,,,,KO!!
ewfa,"Earth, Wind & Fire (alternate sound)",ewf,,,,KO!!
ewff,"Earth, Wind & Fire (Free Play)",ewf,,,,KO!!
excalbfp,"Excalibur (Free Play)",excaliba,x,x,,KO!!
excalffp,"Excalibur (French Free Play)",excaliba,x,x,,KO!!
excalgfp,"Excalibur (German Free Play)",excaliba,x,x,,KO!!
excaliba,"Excalibur",,x,x,,KO!!
excalibg,"Excalibur (German)",excaliba,x,,,KO!!
excalibr,"Excalibur (French)",excaliba,x,x,x,OK
f14_l1,"F-14 Tomcat (L-1)",,x,x,x,OK
f14_p3,"F-14 Tomcat (P-3 Prototype)",f14_l1,x,,,KO!!
f14_p4,"F-14 Tomcat (P-4 Prototype)",f14_l1,x,,,KO!!
f14_p5,"F-14 Tomcat (P-5 Prototype)",f14_l1,x,,,OK
f1gp,"F1 Grand Prix",,,,,KO!!
faeton,"Faeton (7 digits)",,,,,KO!!
faeton6d,"Faeton (6 digits)",faeton,,,,KO!!
famlyfun,"Family Fun!",,x,,,KO!!
farfalla,"Farfalla",,,x,,OK
farfallaa,"Farfalla (alternate)",farfalla,,,,KO!!
farfallf,"Farfalla (French Speech)",farfalla,,,,KO!!
farfallfa,"Farfalla (alternate, French Speech)",farfalla,,,,KO!!
farfallg,"Farfalla (German Speech)",farfalla,,,,KO!!
farfallga,"Farfalla (alternate, German Speech)",farfalla,,,,KO!!
farfalli,"Farfalla (Italian Speech)",farfalla,,,,KO!!
farfallia,"Farfalla (alternate, Italian Speech)",farfalla,,,,KO!!
farfffp,"Farfalla (French Speech, Free Play)",farfalla,,,,KO!!
farffp,"Farfalla (Free Play)",farfalla,,,,KO!!
farfgfp,"Farfalla (German Speech, Free Play)",farfalla,,,,KO!!
farfifp,"Farfalla (Italian Speech, Free Play)",farfalla,,,,KO!!
fathom,"Fathom",,x,x,,OK
fathoma,"Fathom (Free Play)",fathom,x,x,,KO!!
fathomb,"Fathom (modified rules rev. 5)",fathom,x,,,KO!!
fball_ia,"Fireball II (Free Play)",fball_ii,x,x,,KO!!
fball_ii,"Fireball II",,x,x,,OK
fbclass,"Fireball Classic",,x,x,,OK
fbclassa,"Fireball Classic (Free Play)",fbclass,x,x,,KO!!
ffv101,"Flipper Football (1.01)",ffv104,x,,,KO!!
ffv103,"Flipper Football (1.03)",ffv104,x,,,KO!!
ffv104,"Flipper Football (1.04)",,x,,,OK
fg_1000af,"Family Guy (V10.00 English, French)",fg_1200ag,,,,KO!!
fg_1000ag,"Family Guy (V10.00 English, German)",fg_1200ag,,,,KO!!
fg_1000ai,"Family Guy (V10.00 English, Italian)",fg_1200ag,,,,KO!!
fg_1000al,"Family Guy (V10.00 English, Spanish)",fg_1200ag,,,,KO!!
fg_1100af,"Family Guy (V11.0 English, French)",fg_1200ag,,,,KO!!
fg_1100ag,"Family Guy (V11.0 English, German)",fg_1200ag,,,,KO!!
fg_1100ai,"Family Guy (V11.0 English, Italian)",fg_1200ag,,,,KO!!
fg_1100al,"Family Guy (V11.0 English, Spanish)",fg_1200ag,,,,KO!!
fg_1200af,"Family Guy (V12.0 English, French)",fg_1200ag,x,,,OK
fg_1200ag,"Family Guy (V12.0 English, German)",,x,,,KO!!
fg_1200ai,"Family Guy (V12.0 English, Italian)",fg_1200ag,x,,,KO!!
fg_1200al,"Family Guy (V12.0 English, Spanish)",fg_1200ag,x,,x,KO!!
fg_200a,"Family Guy (V2.00 English)",fg_1200ag,,,,KO!!
fg_300ai,"Family Guy (V3.00 English, Italian)",fg_1200ag,,,,KO!!
fg_400a,"Family Guy (V4.00 English)",fg_1200ag,,,,KO!!
fg_400ag,"Family Guy (V4.00 English, German)",fg_1200ag,,,,KO!!
fg_700af,"Family Guy (V7.00 English, French)",fg_1200ag,,,,KO!!
fg_700al,"Family Guy (V7.00 English, Spanish)",fg_1200ag,,,,KO!!
fg_800al,"Family Guy (V8.00 English, Spanish)",fg_1200ag,,,,KO!!
fh_905h,"Funhouse (9.05H)",fh_l9,x,x,x,OK
fh_906h,"Funhouse (9.06H Coin Play)",fh_l9,x,x,,OK
fh_d3,"Funhouse (D-3 LED Ghost Fix)",fh_l9,,x,,KO!!
fh_d4,"Funhouse (D-4 LED Ghost Fix)",fh_l9,,,,KO!!
fh_d5,"Funhouse (D-5 LED Ghost Fix)",fh_l9,,,,KO!!
fh_d9,"Funhouse (D-9, SL-3 LED Ghost Fix)",fh_l9,,x,,KO!!
fh_d9b,"Funhouse (D-9, SL-3 German LED Ghost Fix)",fh_l9,,x,,KO!!
fh_f91,"Funhouse (FreeWPC 0.91)",fh_l9,x,,,KO!!
fh_l2,"Funhouse (L-2)",fh_l9,x,,,KO!!
fh_l3,"Funhouse (L-3)",fh_l9,x,x,,OK
fh_l4,"Funhouse (L-4)",fh_l9,x,,,KO!!
fh_l5,"Funhouse (L-5)",fh_l9,x,,,KO!!
fh_l9,"Funhouse (L-9, SL-3)",,x,x,,OK
fh_l9b,"Funhouse (L-9, SL-3 Improved German translation patch)",fh_l9,x,x,,KO!!
fh_pa1,"Funhouse (L-2, Prototype PA-1 system 11 sound)",fh_l9,x,,,KO!!
fire_l2,"Fire! (L-2)",fire_l3,x,,,KO!!
fire_l3,"Fire! (L-3)",,x,x,,OK
fireact,"Fire Action",,,,,KO!!
fireactd,"Fire Action Deluxe",,,,,OK
firebird,"Hot Fire Birds",,,,,KO!!
firemntn,"Fire Mountain",,,,,KO!!
firemntnf,"Fire Mountain (Free Play)",firemntn,,,,KO!!
fjholden,"FJ Holden",,,,,KO!!
flash_l1,"Flash (Sys.6 L-1)",,x,x,,OK
flash_l1ff,"Flash (Sys.6 L-1 Free Play Fix)",flash_l1,x,x,,KO!!
flash_l2,"Flash (Sys.4 L-2)",flash_l1,x,x,,OK
flash_t1,"Flash (Sys.6 T-1 Ted Estes)",flash_l1,x,x,,KO!!
flash_t1ff,"Flash (Sys.6 T-1 Ted Estes, Free Play Fix)",flash_l1,x,x,,KO!!
flashgda,"Flash Gordon (Free Play)",flashgdn,x,x,,KO!!
flashgdf,"Flash Gordon (French)",flashgdn,x,x,,KO!!
flashgdn,"Flash Gordon",,x,x,,OK
flashgdp,"Flash Gordon (Prototype rev. 1)",flashgdn,x,,,KO!!
flashgdv,"Flash Gordon (Vocalizer Sound)",flashgdn,x,x,,KO!!
flashgfa,"Flash Gordon (French Free Play)",flashgdn,x,x,,KO!!
flashgp2,"Flash Gordon (Prototype rev. 2)",flashgdn,x,,,KO!!
flashgva,"Flash Gordon (Vocalizer Sound Free Play)",flashgdn,x,x,,KO!!
flashgvf,"Flash Gordon (French Vocalizer Sound)",flashgdn,x,x,,KO!!
flashgvffp,"Flash Gordon (French Vocalizer Sound Free Play)",flashgdn,x,x,,KO!!
flashman,"Flashman",,,,,KO!!
fldragon,"Flash Dragon",,,,,KO!!
flicker,"Flicker (Prototype)",,,,,KO!!
flight2k,"Flight 2000",,x,x,,KO!!
flight2m,"Flight 2000 (modified rules rev. 3335)",flight2k,x,,,OK
flight2mb,"Flight 2000 (modified rules & sound rev. 3347)",flight2k,x,,,KO!!
flightfp,"Flight 2000 (Free Play)",flight2k,x,,,KO!!
foathens,"Flame of Athens",,,,,KO!!
football,"Football",,,,,KO!!
force,"Force",,,,,KO!!
force_ekky,"Force (with Ekky sound module)",force,,,,KO!!
forceii,"Force II",,x,,,OK
forceii7,"Force II (7-digit conversion)",forceii,x,,,KO!!
formula1,"Formula 1",,,,,KO!!
fourx4,"4x4 (Prototype)",,,,,KO!!
foxylady,"Foxy Lady",,,,,KO!!
fpwr2_l2,"Firepower II (L-2)",,x,x,,OK
frankst,"Frankenstein, Mary Shelley's",,x,x,x,OK
frankstg,"Frankenstein, Mary Shelley's (German)",frankst,x,x,,KO!!
franksti,"Frankenstein, Mary Shelley's (Italian)",frankst,x,x,,KO!!
freddy,"Freddy: A Nightmare on Elm Street (rev. 3)",,x,x,x,OK
freddy4,"Freddy: A Nightmare on Elm Street (rev. 4)",freddy,x,x,,KO!!
freedom,"Freedom",,x,x,x,OK
freedoma,"Freedom (Free Play+ rev. 07)",freedom,x,x,,KO!!
freedomb,"Freedom (Free Play+ rev. 20)",freedom,x,x,,KO!!
freefafp,"Free Fall (Free Play)",freefall,x,,,KO!!
freefall,"Free Fall",,x,x,,KO!!
frontiea,"Frontier (Free Play)",frontier,x,x,,KO!!
frontieg,"Frontier (Gate Fix)",frontier,x,x,,KO!!
frontier,"Frontier",,x,x,,OK
frpwr_a6,"Firepower (Sys.6/6-digit conversion rev. 31)",frpwr_l6,x,,,KO!!
frpwr_a7,"Firepower (Sys.7/6-digit conversion rev. 31)",,x,,,KO!!
frpwr_b6,"Firepower (Sys.6/7-digit conversion)",frpwr_l6,x,,x,KO!!
frpwr_b7,"Firepower (Sys.7/7-digit conversion)",frpwr_l6,x,,,OK
frpwr_c6,"Firepower (Sys.6/7-digit conversion rev. 31)",frpwr_l6,x,,,KO!!
frpwr_c7,"Firepower (Sys.7/7-digit conversion rev. 38)",frpwr_l6,x,,,OK
frpwr_d6,"Firepower (Sys.6/6-digit /10 Scoring rev. 31)",frpwr_l6,x,,,KO!!
frpwr_d7,"Firepower (Sys.7/7-digit conversion rev. 31)",,x,,,KO!!
frpwr_e7,"Firepower (Sys.7/6-digit /10 Scoring rev. 31)",,x,,,KO!!
frpwr_l2,"Firepower (L-2)",frpwr_l6,x,x,,OK
frpwr_l2ff,"Firepower (L-2 Free Play Fix)",frpwr_l6,,x,,KO!!
frpwr_l6,"Firepower (L-6)",,x,x,,KO!!
frpwr_l6ff,"Firepower (L-6 Free Play Fix)",frpwr_l6,,x,,KO!!
frpwr_t6,"Firepower (T-6 Ted Estes)",frpwr_l6,x,x,,KO!!
frpwr_t6ff,"Firepower (T-6 Ted Estes Free Play Fix)",frpwr_l6,,x,,KO!!
fs_dx2,"Flintstones, The (DX-2 LED Ghost Fix)",fs_lx5,,,,KO!!
fs_dx4,"Flintstones, The (DX-4 LED Ghost Fix)",fs_lx5,,,,KO!!
fs_dx5,"Flintstones, The (DX-5 LED Ghost Fix)",fs_lx5,,x,,KO!!
fs_la5,"Flintstones, The (LA-5)",fs_lx5,x,,,KO!!
fs_lx2,"Flintstones, The (LX-2)",fs_lx5,x,,,KO!!
fs_lx3,"Flintstones, The (LX-3)",fs_lx5,x,,,KO!!
fs_lx4,"Flintstones, The (LX-4)",fs_lx5,x,,,KO!!
fs_lx5,"Flintstones, The (LX-5)",,x,x,x,OK
fs_sp2,"Flintstones, The (LX-5, SP-2)",fs_lx5,x,x,,KO!!
fs_sp2d,"Flintstones, The (DX-5, SP-2 LED Ghost Fix)",fs_lx5,,x,,KO!!
ft_d5,"Fish Tales (D-5 LED Ghost Fix)",ft_l5,,x,,KO!!
ft_d6,"Fish Tales (D-6 Text size patch LED Ghost Fix)",ft_l5,,x,,KO!!
ft_l3,"Fish Tales (L-3)",ft_l5,x,,,KO!!
ft_l4,"Fish Tales (L-4)",ft_l5,x,,,KO!!
ft_l5,"Fish Tales (L-5)",,x,x,,OK
ft_l5p,"Fish Tales (L-5 Text size patch)",ft_l5,x,x,,KO!!
